time,d1,d2,d3,el1,el2,el3,target_x,target_y,x,y
0.101484417,3.96,1.81,3.89,3.801249794,1.42968528,3.728270376,,,0.972142857,1.029131988
0.151580517,3.96,1.81,3.89,3.801249794,1.42968528,3.728270376,,,0.972142857,1.029131988
0.201653247,3.96,1.81,3.89,3.801249794,1.42968528,3.728270376,,,0.972142857,1.029131988
0.251762341,3.97,1.94,3.87,3.811666302,1.591068823,3.707398009,,,1.042769231,1.038802508
0.301871224,3.97,1.94,3.87,3.811666302,1.591068823,3.707398009,,,1.042769231,1.038802508
0.351938901,3.97,1.86,3.87,3.811666302,1.492481156,3.707398009,,,1.009362637,1.022171835
0.402042383,3.97,1.86,3.85,3.811666302,1.492481156,3.68651597,,,1.02632967,1.013835858
0.452111493,3.97,1.86,3.85,3.811666302,1.492481156,3.68651597,,,1.02632967,1.013835858
0.502216754,3.97,1.88,3.85,3.811666302,1.517333187,3.68651597,,,1.034549451,1.017927879
0.552286821,3.97,1.88,3.82,3.811666302,1.517333187,3.655174414,,,1.059835165,1.005504897
0.60240896,3.97,1.88,3.82,3.811666302,1.517333187,3.655174414,,,1.059835165,1.005504897
0.652479201,3.97,1.82,3.82,3.811666302,1.442324513,3.655174414,,,1.03543956,0.993360129
0.702590029,3.98,1.82,3.92,3.822080585,1.442324513,3.759561145,,,0.950384615,1.026506689
0.752708255,3.98,1.82,3.92,3.822080585,1.442324513,3.759561145,,,0.950384615,1.026506689
0.80282582,3.99,1.8,3.92,3.832492661,1.417003881,3.759561145,,,0.942428571,1.013882919
0.852925841,3.99,1.8,3.85,3.832492661,1.417003881,3.68651597,,,1.002197802,0.984518036
0.90302005,3.99,1.8,3.85,3.832492661,1.417003881,3.68651597,,,1.002197802,0.984518036
0.953115873,3.98,1.79,3.85,3.822080585,1.404279175,3.68651597,,,0.998252747,0.991217129
1.003217662,3.98,1.79,3.84,3.822080585,1.404279175,3.676071272,,,1.006703297,0.987065337
1.053314961,3.98,1.79,3.84,3.822080585,1.404279175,3.676071272,,,1.006703297,0.987065337
1.103481247,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.153562075,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.203644446,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.25372904,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.303820179,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.353916743,3.97,1.85,3.83,3.811666302,1.48,3.665624094,,,1.039131868,1.003513473
1.404025347,3.99,1.84,3.88,3.832492661,1.467480835,3.717835392,,,0.992714286,1.005003416
1.454125731,3.99,1.84,3.88,3.832492661,1.467480835,3.717835392,,,0.992714286,1.005003416
1.504221726,3.99,1.79,3.88,3.832492661,1.404279175,3.717835392,,,0.972769231,0.995074247
1.55433388,4.01,1.79,3.86,3.853310265,1.404279175,3.696958209,,,0.98978022,0.96932537
1.604521921,4.01,1.79,3.86,3.853310265,1.404279175,3.696958209,,,0.98978022,0.96932537
1.654628269,4.01,1.8,3.86,3.853310265,1.417003881,3.696958209,,,0.993725275,0.971289322
1.704734423,4.02,1.8,3.88,3.863715828,1.417003881,3.717835392,,,0.976714286,0.970918634
1.75484102,4.02,1.8,3.88,3.863715828,1.417003881,3.717835392,,,0.976714286,0.970918634
1.80490584,3.97,1.87,3.88,3.811666302,1.504925247,3.717835392,,,1.004945055,1.02839656
