time,d1,d2,d3,el1,el2,el3,target_x,target_y,x,y
0.151230694,3.96,2.15,3.84,3.801249794,1.841303886,3.676071272,,,1.162571429,1.081921429
0.20134975,3.96,2.15,3.85,3.801249794,1.841303886,3.68651597,,,1.154120879,1.08607322
0.251460572,3.96,2.15,3.85,3.801249794,1.841303886,3.68651597,,,1.154120879,1.08607322
0.301537756,3.96,2.16,3.85,3.801249794,1.852970588,3.68651597,,,1.158857143,1.088431056
0.351616442,3.95,2.16,3.87,3.790831043,1.852970588,3.707398009,,,1.14189011,1.105364859
0.401694228,3.95,2.16,3.87,3.790831043,1.852970588,3.707398009,,,1.14189011,1.105364859
0.451761415,3.95,2.22,3.85,3.790831043,1.922576396,3.68651597,,,1.187736264,1.111405662
0.501882456,3.96,2.22,3.85,3.801249794,1.922576396,3.68651597,,,1.187736264,1.102807836
0.55200453,3.96,2.22,3.85,3.801249794,1.922576396,3.68651597,,,1.187736264,1.102807836
0.602083885,3.96,2.22,3.85,3.801249794,1.922576396,3.68651597,,,1.187736264,1.102807836
0.652162964,3.96,2.22,3.85,3.801249794,1.922576396,3.68651597,,,1.187736264,1.102807836
0.702240421,3.96,2.22,3.85,3.801249794,1.922576396,3.68651597,,,1.187736264,1.102807836
0.752333861,3.96,2.16,3.84,3.801249794,1.852970588,3.676071272,,,1.167307692,1.084279264
0.802434446,3.96,2.16,3.84,3.801249794,1.852970588,3.676071272,,,1.167307692,1.084279264
0.852468172,3.96,2.16,3.84,3.801249794,1.852970588,3.676071272,,,1.167307692,1.084279264
0.902547847,3.97,2.03,3.85,3.811666302,1.699647022,3.68651597,,,1.099,1.050013043
0.952626897,3.97,2.03,3.85,3.811666302,1.699647022,3.68651597,,,1.099,1.050013043
1.002705655,3.97,2.03,3.85,3.811666302,1.699647022,3.68651597,,,1.099,1.050013043
1.052783123,3.97,2.03,3.86,3.811666302,1.699647022,3.696958209,,,1.090527473,1.054175633
1.102858184,3.97,2.03,3.86,3.811666302,1.699647022,3.696958209,,,1.090527473,1.054175633
1.152971914,3.97,2.03,3.86,3.811666302,1.699647022,3.696958209,,,1.090527473,1.054175633
1.203089249,3.95,1.95,3.85,3.790831043,1.603246706,3.68651597,,,1.064010989,1.049811992
1.253210027,3.95,1.95,3.85,3.790831043,1.603246706,3.68651597,,,1.064010989,1.049811992
1.303282249,3.95,1.94,3.85,3.790831043,1.591068823,3.68651597,,,1.059736264,1.047683923
1.35343253,3.98,1.94,3.83,3.822080585,1.591068823,3.665624094,,,1.076615385,1.013532441
1.403545891,3.98,1.94,3.83,3.822080585,1.591068823,3.665624094,,,1.076615385,1.013532441
1.453620873,3.98,1.95,3.83,3.822080585,1.603246706,3.665624094,,,1.08089011,1.015660511
1.503758707,3.97,1.95,3.84,3.811666302,1.603246706,3.676071272,,,1.072461538,1.028442809
1.553835188,3.97,1.95,3.84,3.811666302,1.603246706,3.676071272,,,1.072461538,1.028442809
1.6039202,3.97,1.88,3.86,3.811666302,1.517333187,3.696958209,,,1.026076923,1.022090468
1.654005613,3.96,1.88,3.86,3.801249794,1.517333187,3.696958209,,,1.026076923,1.030710033
1.704082773,3.96,1.88,3.86,3.801249794,1.517333187,3.696958209,,,1.026076923,1.030710033
1.754163177,3.96,1.8,3.85,3.801249794,1.417003881,3.68651597,,,1.002197802,1.010441949
1.804252842,3.97,1.8,3.85,3.811666302,1.417003881,3.68651597,,,1.002197802,1.001822384
1.854379406,3.97,1.8,3.85,3.811666302,1.417003881,3.68651597,,,1.002197802,1.001822384
1.904472324,3.97,1.81,3.85,3.811666302,1.42968528,3.68651597,,,1.006164835,1.003797277
1.954556439,3.97,1.81,3.85,3.811666302,1.42968528,3.68651597,,,1.006164835,1.003797277
2.004634682,3.97,1.81,3.85,3.811666302,1.42968528,3.68651597,,,1.006164835,1.003797277
2.054713588,3.99,1.79,3.86,3.832492661,1.404279175,3.696958209,,,0.98978022,0.986716675
2.104834235,3.99,1.79,3.86,3.832492661,1.404279175,3.696958209,,,0.98978022,0.986716675
2.154905257,3.99,1.79,3.86,3.832492661,1.404279175,3.696958209,,,0.98978022,0.986716675
2.204980055,3.95,1.82,3.87,3.790831043,1.442324513,3.707398009,,,0.993186813,1.031336479
2.2550929,3.95,1.82,3.87,3.790831043,1.442324513,3.707398009,,,0.993186813,1.031336479
2.305207266,3.95,1.82,3.87,3.790831043,1.442324513,3.707398009,,,0.993186813,1.031336479
2.355321972,3.94,1.78,3.87,3.780410031,1.391509971,3.707398009,,,0.977362637,1.032034878
2.405457226,3.94,1.78,3.87,3.780410031,1.391509971,3.707398009,,,0.977362637,1.032034878
2.45556443,3.94,1.87,3.87,3.780410031,1.504925247,3.707398009,,,1.013461538,1.050005853
2.505676504,3.94,1.87,3.86,3.780410031,1.504925247,3.696958209,,,1.021956044,1.045832465
2.55575195,3.94,1.87,3.86,3.780410031,1.504925247,3.696958209,1,1,1.021956044,1.045832465
2.605871327,3.94,1.79,3.86,3.780410031,1.404279175,3.696958209,,,0.98978022,1.029814501
2.655949221,3.92,1.79,3.9,3.759561145,1.404279175,3.738702984,,,0.95567033,1.063659795
2.7060282,3.92,1.79,3.9,3.759561145,1.404279175,3.738702984,,,0.95567033,1.063659795
2.756100757,3.92,1.85,3.88,3.759561145,1.48,3.717835392,,,0.996769231,1.067206856
2.80617549,3.83,1.85,3.88,3.665624094,1.48,3.717835392,,,0.996769231,1.143022074
2.856249782,3.83,1.85,3.88,3.665624094,1.48,3.717835392,,,0.996769231,1.143022074
2.906423705,3.83,1.88,3.85,3.665624094,1.517333187,3.68651597,,,1.034549451,1.136623531
2.956546858,3.81,1.88,3.85,3.644722212,1.517333187,3.68651597,,,1.034549451,1.153232226
3.006645925,3.81,1.88,3.85,3.644722212,1.517333187,3.68651597,,,1.034549451,1.153232226
3.056713008,3.79,1.89,3.86,3.62381015,1.529705854,3.696958209,,,1.03021978,1.175978978
3.106833498,3.79,1.89,3.86,3.62381015,1.529705854,3.696958209,,,1.03021978,1.175978978
3.15693844,3.79,1.89,3.86,3.62381015,1.529705854,3.696958209,,,1.03021978,1.175978978
3.20704958,3.75,1.91,3.88,3.581954774,1.554348738,3.717835392,,,1.02156044,1.221276828
3.257126042,3.75,1.91,3.88,3.581954774,1.554348738,3.717835392,,,1.02156044,1.221276828
3.307258977,3.75,1.91,3.88,3.581954774,1.554348738,3.717835392,,,1.02156044,1.221276828
3.357380481,3.75,1.87,3.9,3.581954774,1.504925247,3.738702984,,,0.987846154,1.22140602
3.407499255,3.75,1.87,3.9,3.581954774,1.504925247,3.738702984,,,0.987846154,1.22140602
3.457613823,3.75,1.87,3.9,3.581954774,1.504925247,3.738702984,,,0.987846154,1.22140602
3.507748395,3.72,1.96,3.9,3.550535171,1.615394689,3.738702984,,,1.025725275,1.26462193
