time,d1,d2,d3,el1,el2,el3,target_x,target_y,x,y
0.151775552,3.98,1.85,3.86,3.822080585,1.48,3.696958209,,,1.01378022,1.007327544
0.20192016,3.98,1.85,3.86,3.822080585,1.48,3.696958209,,,1.01378022,1.007327544
0.2520752,3.98,1.85,3.86,3.822080585,1.48,3.696958209,,,1.01378022,1.007327544
0.302415834,4,1.85,3.85,3.842902549,1.48,3.68651597,,,1.022252747,0.985817129
0.352756941,4,1.85,3.85,3.842902549,1.48,3.68651597,,,1.022252747,0.985817129
0.403052745,4,1.86,3.85,3.842902549,1.492481156,3.68651597,,,1.02632967,0.987846727
0.453421255,3.99,1.86,3.86,3.832492661,1.492481156,3.696958209,,,1.017857143,1.000694099
0.503743684,3.99,1.86,3.86,3.832492661,1.492481156,3.696958209,,,1.017857143,1.000694099
0.553945552,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.604082304,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.654293417,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.70459284,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.75492171,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.805047431,3.99,1.8,3.86,3.832492661,1.417003881,3.696958209,,,0.993725275,0.988680626
0.855399269,3.95,1.87,3.86,3.790831043,1.504925247,3.696958209,,,1.021956044,1.037256378
0.905712327,3.95,1.87,3.84,3.790831043,1.504925247,3.676071272,,,1.038879121,1.028941997
0.956064261,3.95,1.87,3.84,3.790831043,1.504925247,3.676071272,,,1.038879121,1.028941997
1.006152691,3.97,1.86,3.86,3.811666302,1.492481156,3.696958209,,,1.017857143,1.017998447
1.056289741,3.97,1.86,3.86,3.811666302,1.492481156,3.696958209,,,1.017857143,1.017998447
1.106591613,3.97,1.86,3.86,3.811666302,1.492481156,3.696958209,,,1.017857143,1.017998447
1.156705045,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.207037561,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.257183135,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.307401997,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.357722131,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.408061348,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.458181797,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.508385195,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.558631122,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.608750418,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.659088791,3.97,1.82,3.86,3.811666302,1.442324513,3.696958209,,,1.001681319,1.0099457
1.709231354,3.99,1.84,3.86,3.832492661,1.467480835,3.696958209,,,1.009725275,0.996645843
1.75956495,3.99,1.84,3.85,3.832492661,1.467480835,3.68651597,,,1.018197802,0.992483254
1.809889635,3.99,1.84,3.85,3.832492661,1.467480835,3.68651597,,,1.018197802,0.992483254
1.86021798,3.98,1.89,3.85,3.822080585,1.529705854,3.68651597,,,1.038692308,1.011348997
1.91054433,3.98,1.89,3.85,3.822080585,1.529705854,3.68651597,,,1.038692308,1.011348997
1.960865216,3.98,1.89,3.85,3.822080585,1.529705854,3.68651597,,,1.038692308,1.011348997
2.010972227,3.98,1.86,3.85,3.822080585,1.492481156,3.68651597,,,1.02632967,1.005194553
2.061115314,3.98,1.86,3.85,3.822080585,1.492481156,3.68651597,,,1.02632967,1.005194553
2.111254741,3.98,1.86,3.85,3.822080585,1.492481156,3.68651597,,,1.02632967,1.005194553
2.161585553,3.99,1.87,3.81,3.832492661,1.504925247,3.644722212,,,1.064098901,0.98202967
2.211909588,3.99,1.87,3.81,3.832492661,1.504925247,3.644722212,,,1.064098901,0.98202967
2.262186323,3.99,1.87,3.81,3.832492661,1.504925247,3.644722212,,,1.064098901,0.98202967
2.312504551,4,1.86,3.86,3.842902549,1.492481156,3.696958209,,,1.017857143,0.992009317
2.362646551,4,1.86,3.86,3.842902549,1.492481156,3.696958209,,,1.017857143,0.992009317
2.412737375,4,1.87,3.86,3.842902549,1.504925247,3.696958209,1,1,1.021956044,0.994049857
2.463069673,3.98,1.87,3.85,3.822080585,1.504925247,3.68651597,,,1.030428571,1.007235093
2.513424593,3.98,1.87,3.85,3.822080585,1.504925247,3.68651597,,,1.030428571,1.007235093
2.563749465,3.98,1.86,3.85,3.822080585,1.492481156,3.68651597,,,1.02632967,1.005194553
2.613935546,4,1.86,3.85,3.842902549,1.492481156,3.68651597,,,1.02632967,0.987846727
2.66428785,4,1.86,3.85,3.842902549,1.492481156,3.68651597,,,1.02632967,0.987846727
2.714376726,3.99,1.85,3.85,3.832492661,1.48,3.68651597,,,1.022252747,0.994501911
2.764502837,3.99,1.85,3.88,3.832492661,1.48,3.717835392,,,0.996769231,1.007022074
2.814830292,3.99,1.85,3.88,3.832492661,1.48,3.717835392,,,0.996769231,1.007022074
2.86518142,3.99,1.8,3.88,3.832492661,1.417003881,3.717835392,,,0.976714286,0.997038199
2.915477775,3.99,1.8,3.88,3.832492661,1.417003881,3.717835392,,,0.976714286,0.997038199
2.965664358,3.99,1.8,3.88,3.832492661,1.417003881,3.717835392,,,0.976714286,0.997038199
3.015955435,3.97,1.85,3.88,3.811666302,1.48,3.717835392,,,0.996769231,1.024326421
3.066287341,3.97,1.85,3.87,3.811666302,1.48,3.707398009,,,1.005285714,1.020142236
3.116586065,3.97,1.85,3.87,3.811666302,1.48,3.707398009,,,1.005285714,1.020142236
3.166909969,3.97,1.89,3.85,3.811666302,1.529705854,3.68651597,,,1.038692308,1.019990301
3.217221435,3.97,1.89,3.85,3.811666302,1.529705854,3.68651597,,,1.038692308,1.019990301
3.267381612,3.97,1.89,3.85,3.811666302,1.529705854,3.68651597,,,1.038692308,1.019990301
3.31749926,3.95,1.84,3.85,3.790831043,1.467480835,3.68651597,,,1.018197802,1.027004993
3.367815163,3.95,1.84,3.85,3.790831043,1.467480835,3.68651597,,,1.018197802,1.027004993
3.417944617,3.95,1.84,3.85,3.790831043,1.467480835,3.68651597,,,1.018197802,1.027004993
3.468295476,3.94,1.88,3.89,3.780410031,1.517333187,3.728270376,,,1.000527473,1.060436503
3.518617902,3.94,1.88,3.89,3.780410031,1.517333187,3.728270376,,,1.000527473,1.060436503
3.568941574,3.94,1.93,3.89,3.780410031,1.578860348,3.728270376,,,1.021461538,1.070858027
3.619108103,3.89,1.93,3.89,3.728270376,1.578860348,3.728270376,,,1.021461538,1.113412375
3.669321131,3.89,1.93,3.89,3.728270376,1.578860348,3.728270376,,,1.021461538,1.113412375
3.71964211,3.89,2.02,3.89,3.728270376,1.68769073,3.728270376,,,1.060527473,1.132860416
3.76996529,3.87,2.02,3.91,3.707398009,1.68769073,3.749133233,,,1.043384615,1.158152341
3.820309924,3.87,2.02,3.91,3.707398009,1.68769073,3.749133233,,,1.043384615,1.158152341
