pattern,model,rmse_cm,mae_cm,below10,below20
Pola L,Raw trilateration,22.4951706476282,19.49200787936439,24.369531652084405,51.85280494081318
Pola L,EKF only,42.161443269128526,19.596371508115322,41.006176016469375,70.47092125579002
Pola L,EKF + LSTM residual,43.57833639786062,22.20113528436054,35.42202779207411,74.92279979413279
Pola L,EKF + LSTM + raw fallback,14.347361911776291,12.503806397892369,40.51724137931034,87.39063304168812
Pola L,EKF + LSTM + trajectory constraint,12.63694074996593,10.722548199275641,48.81626351003603,92.15131240349974
Segitiga,Raw trilateration,18.24238741519147,15.09733897299593,38.20687695368002,72.81898266552999
Segitiga,EKF only,13.68882925020389,11.56640582179446,50.02841716396704,84.7257743677181
Segitiga,EKF + LSTM residual,12.30815950997336,9.822002126987,60.72747939755613,87.97953964194375
Segitiga,EKF + LSTM + raw fallback,12.30815950997336,9.822002126987,60.72747939755613,87.97953964194375
Segitiga,EKF + LSTM + trajectory constraint,12.13936064711955,9.46226429329034,61.77891446433645,88.22108553566355
