split,trajectory,model,constraint_enabled,rmse_x_m,rmse_y_m,rmse_2d_m,mae_x_m,mae_y_m,mae_2d_m,median_error_m,p90_error_m,p95_error_m,max_error_m,pct_below_5cm,pct_below_10cm,pct_below_20cm,pct_below_50cm,n_samples
train,all,Raw trilateration,False,0.15065498665959834,0.12641548211467812,0.19666672093592816,0.096882225464348,0.08756633246971543,0.16023579908900717,0.13231409032680508,0.3315389645310018,0.3968862322026847,0.6540313183362895,15.683896249300242,37.81489083784288,69.04273185295764,99.38421347266281,10718
train,all,EKF only,False,0.09820995994756772,0.09244986296650266,0.13487836518666727,0.07129908647776063,0.07061220897584401,0.11747096356178895,0.10738438794690586,0.21261732278183237,0.24402177525537655,0.3798604469416553,15.487964172420227,45.58686322075014,87.88020153013622,100.0,10718
train,all,EKF + LSTM residual,False,0.02629788698658905,0.03795544494134199,0.04617569339657666,0.019303676617049133,0.023777340772248794,0.0360649024553482,0.02840407349174832,0.06927778272339614,0.08640069922171852,0.23354988093757034,78.54077253218884,96.6038440007464,99.71076693412951,100.0,10718
train,all,EKF + LSTM + trajectory constraint,False,0.02629788698658905,0.03795544494134199,0.04617569339657666,0.019303676617049133,0.023777340772248794,0.0360649024553482,0.02840407349174832,0.06927778272339614,0.08640069922171852,0.23354988093757034,78.54077253218884,96.6038440007464,99.71076693412951,100.0,10718
train,L1_gt,Raw trilateration,False,0.14586864931817317,0.09959910098554355,0.17662854744077097,0.09256198209811317,0.07563690590742989,0.14527548666416074,0.12034120803024725,0.2779883776974418,0.3639512070097191,0.5235872819773654,16.30552546045504,39.84290357529794,74.02491874322861,99.91874322860238,3692
train,L1_gt,EKF only,False,0.09641757555638422,0.07917044208653776,0.12475699489948004,0.06970948653281087,0.0637097316872204,0.10954210567436763,0.10596293680272224,0.19505593505034935,0.2258334724209965,0.2656330726467535,17.307692307692307,46.28927410617551,90.95341278439871,100.0,3692
train,L1_gt,EKF + LSTM residual,False,0.026357281448199342,0.04856780498557844,0.05525882704561119,0.0196697089291573,0.029679756731411978,0.04212047700045125,0.03236705260132505,0.0802828485445461,0.11122649305259225,0.23354988093757034,72.1830985915493,93.63488624052005,99.16034669555796,100.0,3692
train,L1_gt,EKF + LSTM + trajectory constraint,False,0.026357281448199342,0.04856780498557844,0.05525882704561119,0.0196697089291573,0.029679756731411978,0.04212047700045125,0.03236705260132505,0.0802828485445461,0.11122649305259225,0.23354988093757034,72.1830985915493,93.63488624052005,99.16034669555796,100.0,3692
train,L2_gt,Raw trilateration,False,0.1531101379392598,0.1384403585864079,0.20641813686135324,0.09915241312562599,0.09383496937093351,0.16809709619582935,0.1407301749464961,0.34915656844358783,0.4060702903605652,0.6540313183362895,15.357244520352975,36.7492171932821,66.42470822658696,99.10333048676345,7026
train,L2_gt,EKF only,False,0.09913882905181814,0.09871447911630246,0.13990373766618439,0.07213438437083698,0.07423930065668635,0.12163739443573705,0.10881900156793714,0.22215595892266154,0.2532211524309279,0.3798604469416553,14.531739254198692,45.21776259607173,86.26530031312268,100.0,7026
train,L2_gt,EKF + LSTM residual,False,0.026266622745929245,0.03095342723712094,0.04059618366547166,0.019111335128819223,0.020675758119070534,0.03288283851846798,0.026674493860901934,0.06328111598469119,0.07862241908094843,0.18461968498232584,81.88158269285512,98.16396242527755,100.0,100.0,7026
train,L2_gt,EKF + LSTM + trajectory constraint,False,0.026266622745929245,0.03095342723712094,0.04059618366547166,0.019111335128819223,0.020675758119070534,0.03288283851846798,0.026674493860901934,0.06328111598469119,0.07862241908094843,0.18461968498232584,81.88158269285512,98.16396242527755,100.0,100.0,7026
val,all,Raw trilateration,False,0.1959559921944792,0.12089697788963745,0.23024949541697218,0.14709537369465678,0.07112115119405889,0.19213670109750372,0.16731488502533792,0.37844602975207364,0.4340632765545141,0.5657234642998559,13.557483731019524,27.874186550976138,58.6767895878525,98.80694143167028,1844
val,all,EKF only,False,0.16134540930267832,0.09406859481328136,0.1867652045569359,0.11736437838479327,0.06599642550284764,0.15272573125089234,0.1251923349958726,0.2923040074824568,0.3523534982489451,0.5279093882247773,15.184381778741866,39.58785249457701,70.5531453362256,98.53579175704989,1844
val,all,EKF + LSTM residual,False,0.07379999364490412,0.05303433536030201,0.09087947947197361,0.04912147658829639,0.03390455008173119,0.0712422905832289,0.05855027824036137,0.14096553767639847,0.19525090656632416,0.2818678753146857,43.43817787418655,77.76572668112797,95.5531453362256,100.0,1844
val,all,EKF + LSTM + trajectory constraint,False,0.07379999364490412,0.05303433536030201,0.09087947947197361,0.04912147658829639,0.03390455008173119,0.0712422905832289,0.05855027824036137,0.14096553767639847,0.19525090656632416,0.2818678753146857,43.43817787418655,77.76572668112797,95.5531453362256,100.0,1844
val,L1_gt,Raw trilateration,False,0.16999911836767254,0.06960758365545128,0.18369789315105542,0.12736058381488788,0.04547104142019026,0.15031163453180163,0.13358401410095433,0.2976180298349462,0.3363089153277066,0.5059871072012397,20.541401273885352,35.98726114649681,71.81528662420382,99.68152866242038,628
val,L1_gt,EKF only,False,0.11864982179274103,0.05436686378181945,0.13051258977171556,0.09710372647801056,0.04376840769719755,0.11453974046340984,0.10529112376241477,0.22596278177786783,0.24136618870768023,0.2671062099359007,15.127388535031846,46.65605095541402,85.35031847133759,100.0,628
val,L1_gt,EKF + LSTM residual,False,0.05337650404337378,0.055737667332928925,0.07717343288728673,0.042807243966974405,0.035767111142343114,0.06879729292926279,0.06709648275532407,0.11017092495099438,0.13548747696991922,0.17803326738929076,33.59872611464968,84.55414012738854,100.0,100.0,628
val,L1_gt,EKF + LSTM + trajectory constraint,False,0.05337650404337378,0.055737667332928925,0.07717343288728673,0.042807243966974405,0.035767111142343114,0.06879729292926279,0.06709648275532407,0.11017092495099438,0.13548747696991922,0.17803326738929076,33.59872611464968,84.55414012738854,100.0,100.0,628
val,L2_gt,Raw trilateration,False,0.208097358411566,0.14022202407563242,0.2509317170342143,0.15728735399440583,0.08436808288648448,0.2137371466593959,0.19234649299561904,0.39981826716559155,0.4491396376092145,0.5657234642998559,9.950657894736842,23.684210526315788,51.89144736842105,98.35526315789474,1216
val,L2_gt,EKF only,False,0.17946097797611785,0.10905227910384815,0.20999676710342052,0.1278279387445462,0.07747602680379191,0.17244678570363825,0.1479615018208685,0.31524222430203275,0.4482681690094602,0.5279093882247773,15.213815789473683,35.9375,62.911184210526315,97.7796052631579,1216
val,L2_gt,EKF + LSTM residual,False,0.08238842877734168,0.05158275888527493,0.09720408535969828,0.05238244540917649,0.03294263532345464,0.07250500318741535,0.05215198569446277,0.16639023645491352,0.2190576858526432,0.2818678753146857,48.51973684210527,74.25986842105263,93.25657894736842,100.0,1216
val,L2_gt,EKF + LSTM + trajectory constraint,False,0.08238842877734168,0.05158275888527493,0.09720408535969828,0.05238244540917649,0.03294263532345464,0.07250500318741535,0.05215198569446277,0.16639023645491352,0.2190576858526432,0.2818678753146857,48.51973684210527,74.25986842105263,93.25657894736842,100.0,1216
test,all,Raw trilateration,False,0.17745094712925003,0.14137454991654566,0.22688235277600097,0.12159705647899648,0.09744245037684711,0.19601009431513655,0.19422928872114759,0.33597227266346663,0.3858591962195934,0.6774524817158651,10.216160576428205,24.523932063818837,51.53113741636645,98.623262995368,7772
test,all,EKF only,False,0.4041404413451265,0.11932903623393362,0.4213892680398412,0.14045732629446905,0.0840571655621899,0.19799866509567968,0.12249475175444152,0.30917452390240374,0.3446776503614997,3.6112695845378457,15.56870818322182,41.353576942871854,69.98198661863098,97.50386001029337,7772
test,all,EKF + LSTM residual,False,0.382954377630966,0.09339606690361586,0.39417874201913167,0.11374753369513717,0.06775548102837732,0.15763037080764555,0.10407147559131022,0.19922211376934804,0.25662028386567065,3.6046877746823784,17.691713844570252,48.044261451363866,90.13124034997426,97.61966031909418,7772
test,all,EKF + LSTM + trajectory constraint,False,0.382954377630966,0.09339606690361586,0.39417874201913167,0.11374753369513717,0.06775548102837732,0.15763037080764555,0.10407147559131022,0.19922211376934804,0.25662028386567065,3.6046877746823784,17.691713844570252,48.044261451363866,90.13124034997426,97.61966031909418,7772
test,L3_gt,Raw trilateration,False,0.17745094712925003,0.14137454991654566,0.22688235277600097,0.12159705647899648,0.09744245037684711,0.19601009431513655,0.19422928872114759,0.33597227266346663,0.3858591962195934,0.6774524817158651,10.216160576428205,24.523932063818837,51.53113741636645,98.623262995368,7772
test,L3_gt,EKF only,False,0.4041404413451265,0.11932903623393362,0.4213892680398412,0.14045732629446905,0.0840571655621899,0.19799866509567968,0.12249475175444152,0.30917452390240374,0.3446776503614997,3.6112695845378457,15.56870818322182,41.353576942871854,69.98198661863098,97.50386001029337,7772
test,L3_gt,EKF + LSTM residual,False,0.382954377630966,0.09339606690361586,0.39417874201913167,0.11374753369513717,0.06775548102837732,0.15763037080764555,0.10407147559131022,0.19922211376934804,0.25662028386567065,3.6046877746823784,17.691713844570252,48.044261451363866,90.13124034997426,97.61966031909418,7772
test,L3_gt,EKF + LSTM + trajectory constraint,False,0.382954377630966,0.09339606690361586,0.39417874201913167,0.11374753369513717,0.06775548102837732,0.15763037080764555,0.10407147559131022,0.19922211376934804,0.25662028386567065,3.6046877746823784,17.691713844570252,48.044261451363866,90.13124034997426,97.61966031909418,7772
