split,trajectory,model,constraint_enabled,rmse_x_m,rmse_y_m,rmse_2d_m,mae_x_m,mae_y_m,mae_2d_m,median_error_m,p90_error_m,p95_error_m,max_error_m,pct_below_5cm,pct_below_10cm,pct_below_20cm,pct_below_50cm,n_samples
train,all,EKF only,True,0.11300343594937905,0.12078887999883431,0.165407769067049,0.07981166139047599,0.08801293945587167,0.13593949144944784,0.11602659872960602,0.2557877260320977,0.31398607493881725,0.757600230336885,15.019132653061224,42.051977040816325,80.21364795918367,99.41007653061224,12544
train,all,EKF + LSTM residual,True,0.04927552102085527,0.07036973876882809,0.08590679313226549,0.027805421121753975,0.03850655715211934,0.05440620147033467,0.03435984892887401,0.11333162803322441,0.18686996171831358,0.5743977311611447,68.87755102040816,88.38488520408163,95.83864795918367,99.81664540816327,12544
train,all,EKF + LSTM + raw fallback,True,0.04927552102085527,0.07036973876882809,0.08590679313226549,0.027805421121753975,0.03850655715211934,0.05440620147033467,0.03435984892887401,0.11333162803322441,0.18686996171831358,0.5743977311611447,68.87755102040816,88.38488520408163,95.83864795918367,99.81664540816327,12544
train,all,EKF + LSTM + trajectory constraint,True,0.04942104875629133,0.06890334190191262,0.08479451978414403,0.024351996774512153,0.033925605778520274,0.05026155155887396,0.02990961528237237,0.1138973246576534,0.1870484879101172,0.5727867252559125,71.39668367346938,88.55229591836735,95.88647959183673,99.81664540816327,12544
train,s3_1_3_gt,EKF only,True,0.12711928721880378,0.14239975547597164,0.19088479128163469,0.0883328762239167,0.1011764235222783,0.15538438952937975,0.13231561052210783,0.2912325802517141,0.3619540174140448,0.757600230336885,15.154335349775089,36.59066232356135,71.61470451372732,98.85217930820536,6447
train,s3_1_3_gt,EKF + LSTM residual,True,0.03803705777264529,0.08580774825466217,0.09386046784741185,0.025838637822024065,0.0445231059507305,0.05809882381685765,0.035411844460102496,0.1196694237522517,0.19617393599140992,0.5743977311611447,66.15480068248797,87.5290832945556,95.20707305723593,99.64324492011788,6447
train,s3_1_3_gt,EKF + LSTM + raw fallback,True,0.03803705777264529,0.08580774825466217,0.09386046784741185,0.025838637822024065,0.0445231059507305,0.05809882381685765,0.035411844460102496,0.1196694237522517,0.19617393599140992,0.5743977311611447,66.15480068248797,87.5290832945556,95.20707305723593,99.64324492011788,6447
train,s3_1_3_gt,EKF + LSTM + trajectory constraint,True,0.038900859440542924,0.08450434902982032,0.09302828532315628,0.022247234362216046,0.03928434310603139,0.05368869180632867,0.030090604588526124,0.12268996458003077,0.19556791876929108,0.5727867252559125,68.96230805025594,87.59112765627424,95.2846285093842,99.64324492011788,6447
train,s3_1_4_gt,EKF only,True,0.09584186238322108,0.09260513252851428,0.13327180180258683,0.07080128382262424,0.07409380188393082,0.1153783535256622,0.10448701140782815,0.2050057056922254,0.24797884119345465,0.39399286629273517,14.876168607511891,47.82680006560604,89.30621617188781,100.0,6097
train,s3_1_4_gt,EKF + LSTM residual,True,0.058869904370539745,0.04901451299260986,0.0766034472102869,0.029885108170033252,0.03214462667735368,0.05050160309932699,0.033347152164020816,0.10653869334845033,0.17261604299757477,0.37182794734476954,71.75660160734787,89.289814662949,96.50647859603083,100.0,6097
train,s3_1_4_gt,EKF + LSTM + raw fallback,True,0.058869904370539745,0.04901451299260986,0.0766034472102869,0.029885108170033252,0.03214462667735368,0.05050160309932699,0.033347152164020816,0.10653869334845033,0.17261604299757477,0.37182794734476954,71.75660160734787,89.289814662949,96.50647859603083,100.0,6097
train,s3_1_4_gt,EKF + LSTM + trajectory constraint,True,0.05852300513215013,0.0470846806789341,0.07511264397113751,0.026577583665126067,0.028259248627386234,0.04663767536150796,0.02975754560055721,0.10419781316338925,0.17238888788835838,0.37181239319617343,73.97080531408889,89.56864031490898,96.52288010496966,100.0,6097
val,all,EKF only,True,0.10555132180101585,0.09312118395628136,0.14075736725074534,0.07178683926625182,0.07224797944522407,0.11186437648634859,0.08090299812491303,0.2514469859169896,0.2877035456200557,0.40294299877837436,24.411628980156898,59.16012921089063,85.18689432395016,100.0,2167
val,all,EKF + LSTM residual,True,0.08004097576297492,0.06965978393385469,0.10610863913367495,0.05649910586825897,0.04861131001791858,0.08109689444723574,0.05609832113654695,0.19302753679093232,0.22624613007678918,0.33043346937619766,45.13151822796493,69.95846792801107,91.047531149054,100.0,2167
val,all,EKF + LSTM + raw fallback,True,0.08004097576297492,0.06965978393385469,0.10610863913367495,0.05649910586825897,0.04861131001791858,0.08109689444723574,0.05609832113654695,0.19302753679093232,0.22624613007678918,0.33043346937619766,45.13151822796493,69.95846792801107,91.047531149054,100.0,2167
val,all,EKF + LSTM + trajectory constraint,True,0.07760036393939133,0.06844494021302731,0.10347234569821477,0.0506591175988573,0.04512084488182763,0.07572212576392325,0.05129758181744849,0.19157397456721342,0.22348875454990447,0.3304098295256085,49.10013844023997,70.7429626211352,91.13982464236271,100.0,2167
val,s3_1_3_gt,EKF only,True,0.09818798036253318,0.09945326286694188,0.13975632716465555,0.06281906367881195,0.07490408059229722,0.10532248595163027,0.06857711256582422,0.2616827542367668,0.3146764299736622,0.40294299877837436,32.49551166965889,63.19569120287253,85.18850987432674,100.0,1114
val,s3_1_3_gt,EKF + LSTM residual,True,0.09077790689494282,0.06871739709995546,0.11385389340914027,0.06451877105061912,0.050230213978958264,0.0889213625328237,0.0697044431209771,0.19697783026277818,0.23439341034606304,0.3166839025999374,39.048473967684025,63.73429084380611,90.21543985637342,100.0,1114
val,s3_1_3_gt,EKF + LSTM + raw fallback,True,0.09077790689494282,0.06871739709995546,0.11385389340914027,0.06451877105061912,0.050230213978958264,0.0889213625328237,0.0697044431209771,0.19697783026277818,0.23439341034606304,0.3166839025999374,39.048473967684025,63.73429084380611,90.21543985637342,100.0,1114
val,s3_1_3_gt,EKF + LSTM + trajectory constraint,True,0.08884387513947437,0.06727568657978832,0.11144169845520312,0.05932761317856248,0.0471931817825182,0.08409025171327084,0.06474439352525935,0.1984853478539053,0.23228961533109815,0.31648466511380047,41.92100538599641,64.72172351885098,90.12567324955117,100.0,1114
val,s3_1_4_gt,EKF only,True,0.1128192796980608,0.08591576688318125,0.1418087052007542,0.08127411562371434,0.06943801109020081,0.11878523693808285,0.09197360677560204,0.2336033284306629,0.27070259242671224,0.37510321210931447,15.859449192782527,54.89078822412156,85.18518518518519,100.0,1053
val,s3_1_4_gt,EKF + LSTM residual,True,0.0668299335508541,0.07064307925990645,0.09724548660854651,0.048014863690529444,0.046898623396267866,0.07281915708033643,0.04905839174287385,0.1835483295970828,0.21793425214646256,0.33043346937619766,51.566951566951566,76.5432098765432,91.92782526115859,100.0,1053
val,s3_1_4_gt,EKF + LSTM + raw fallback,True,0.0668299335508541,0.07064307925990645,0.09724548660854651,0.048014863690529444,0.046898623396267866,0.07281915708033643,0.04905839174287385,0.1835483295970828,0.21793425214646256,0.33043346937619766,51.566951566951566,76.5432098765432,91.92782526115859,100.0,1053
val,s3_1_4_gt,EKF + LSTM + trajectory constraint,True,0.06357663177018323,0.06966056740439346,0.09431109562688536,0.041488458457554764,0.04292845807520912,0.06686923658294204,0.04316992054649646,0.18151952117527628,0.21526913060325512,0.3304098295256085,56.69515669515669,77.11301044634378,92.21272554605888,100.0,1053
test,all,EKF only,True,0.09927299337562812,0.09425111866682968,0.13688827774395554,0.07021726737134178,0.07237621296146535,0.11566403232014953,0.09997889188830938,0.22388208828593292,0.2534050380526423,0.3796020956951961,19.906223358908782,50.028417163967035,84.7257743677181,100.0,7038
test,all,EKF + LSTM residual,True,0.09788358827475022,0.08829470321781693,0.13182242400237978,0.06591132611641577,0.06266017592260109,0.10471627968596552,0.08219854005032848,0.23291125492646889,0.26709754268944735,0.4048765467116486,30.946291560102303,58.51094060812731,85.1094060812731,100.0,7038
test,all,EKF + LSTM + raw fallback,True,0.09788358827475022,0.08829470321781693,0.13182242400237978,0.06591132611641577,0.06266017592260109,0.10471627968596552,0.08219854005032848,0.23291125492646889,0.26709754268944735,0.4048765467116486,30.946291560102303,58.51094060812731,85.1094060812731,100.0,7038
test,all,EKF + LSTM + trajectory constraint,True,0.09594864117381119,0.08844662946820829,0.1304950114272086,0.059919815235560975,0.060142288299093016,0.10172898873472613,0.07990441811812646,0.23191866105148282,0.266480095123115,0.404531771558575,33.50383631713555,59.54816709292413,85.25149190110827,100.0,7038
test,s3_1_5_gt,EKF only,True,0.09927299337562812,0.09425111866682968,0.13688827774395554,0.07021726737134178,0.07237621296146535,0.11566403232014953,0.09997889188830938,0.22388208828593292,0.2534050380526423,0.3796020956951961,19.906223358908782,50.028417163967035,84.7257743677181,100.0,7038
test,s3_1_5_gt,EKF + LSTM residual,True,0.09788358827475022,0.08829470321781693,0.13182242400237978,0.06591132611641577,0.06266017592260109,0.10471627968596552,0.08219854005032848,0.23291125492646889,0.26709754268944735,0.4048765467116486,30.946291560102303,58.51094060812731,85.1094060812731,100.0,7038
test,s3_1_5_gt,EKF + LSTM + raw fallback,True,0.09788358827475022,0.08829470321781693,0.13182242400237978,0.06591132611641577,0.06266017592260109,0.10471627968596552,0.08219854005032848,0.23291125492646889,0.26709754268944735,0.4048765467116486,30.946291560102303,58.51094060812731,85.1094060812731,100.0,7038
test,s3_1_5_gt,EKF + LSTM + trajectory constraint,True,0.09594864117381119,0.08844662946820829,0.1304950114272086,0.059919815235560975,0.060142288299093016,0.10172898873472613,0.07990441811812646,0.23191866105148282,0.266480095123115,0.404531771558575,33.50383631713555,59.54816709292413,85.25149190110827,100.0,7038
