pattern,method,along_track_mae_cm,cross_track_mae_cm
Pola L,Raw trilateration,18.788672535571077,2.9163567721443506
Pola L,EKF (guarded),14.019634432796657,3.0194109295762575
Pola L,EKF + LSTM,8.749065540762137,2.6430165616564825
Pola L,EKF + LSTM + current constraint,8.655892225946312,0.20100188500788588
Pola L,MAP-MATCHED (project+smooth) [demo],8.665639347075016,0.20829691530461966
Segitiga,Raw trilateration,13.968549223788568,4.052433430912691
Segitiga,EKF (guarded),10.66704675591641,2.9078019880332535
Segitiga,EKF + LSTM,9.188130425597944,1.9989859931083278
Segitiga,EKF + LSTM + current constraint,9.162144033844276,0.5140462791774856
Segitiga,MAP-MATCHED (project+smooth) [demo],9.04053424057278,0.5274355619743725
Kotak 10-loop,Raw trilateration,16.072014684798212,10.400795080721114
Kotak 10-loop,EKF (guarded),12.48632561835646,5.713295507155801
Kotak 10-loop,EKF + LSTM,8.357476083160046,2.8895755643225978
Kotak 10-loop,EKF + LSTM + current constraint,8.357476083160046,2.8895755643225978
Kotak 10-loop,MAP-MATCHED (project+smooth) [demo],8.290599211363553,0.4155590856390006
