split,trajectory,model,constraint_enabled,rmse_x_m,rmse_y_m,rmse_2d_m,mae_x_m,mae_y_m,mae_2d_m,median_error_m,p90_error_m,p95_error_m,max_error_m,pct_below_5cm,pct_below_10cm,pct_below_20cm,pct_below_50cm,n_samples
train,all,Raw trilateration,True,0.2801311935409783,0.1264154821146781,0.3073342800811187,0.1377660414048471,0.0875663324697154,0.1970401417932076,0.1384539473006653,0.3766552568629862,0.4583886197147983,1.967554620684664,15.403993282328791,36.66728867325993,66.15973129315171,96.04403806680352,10718
train,all,EKF only,True,0.2568644191033913,0.0933868773615168,0.2733138098681763,0.1108438402821781,0.0720634418167195,0.1551975938704229,0.111701077398506,0.2405670977098843,0.2869884054235665,2.019223793407113,15.71188654599739,44.08471729800336,84.02687068482926,96.77178578092928,10718
train,all,EKF + LSTM residual,True,0.2415575152699365,0.0542727359805951,0.2475794075730149,0.0753269804304176,0.0372759539313426,0.1001762764562759,0.0546674364495144,0.1280193247032726,0.1653846574526924,2.017750908461108,45.36294084717298,79.3058406419108,96.333271132674,96.9863780556074,10718
train,all,EKF + LSTM + raw fallback,True,0.2415575152699365,0.0542727359805951,0.2475794075730149,0.0753269804304176,0.0372759539313426,0.1001762764562759,0.0546674364495144,0.1280193247032726,0.1653846574526924,2.017750908461108,45.36294084717298,79.3058406419108,96.333271132674,96.9863780556074,10718
train,all,EKF + LSTM + trajectory constraint,True,0.2424683698590582,0.0545131495188522,0.248520811709148,0.0680560037481803,0.0308962946922768,0.0966809746830659,0.0490261713965222,0.1275428961010718,0.169669034847034,2.0024338179569674,50.77439820862101,79.9402873670461,96.0813584623997,96.79044597872738,10718
train,L1_gt,Raw trilateration,True,0.1458686493181731,0.0995991009855435,0.1766285474407709,0.0925619820981131,0.0756369059074298,0.1452754866641607,0.1203412080302472,0.2779883776974418,0.3639512070097191,0.5235872819773654,16.30552546045504,39.84290357529794,74.02491874322861,99.91874322860238,3692
train,L1_gt,EKF only,True,0.0958184931028303,0.080354398881302,0.1250520413270912,0.0675379897214203,0.0654953721592117,0.1092206716044972,0.1039906312915596,0.1961199271350296,0.2251089556746977,0.2728666564047502,18.391115926327195,47.42686890574215,91.03466955579631,100.0,3692
train,L1_gt,EKF + LSTM residual,True,0.0547998758690317,0.0706877912512296,0.089441546426919,0.0396529823056886,0.0518889622909337,0.0788470742637915,0.0772187096380215,0.1375386653724287,0.1545760396328986,0.2038033695629694,28.38569880823402,69.23076923076923,99.91874322860238,100.0,3692
train,L1_gt,EKF + LSTM + raw fallback,True,0.0547998758690317,0.0706877912512296,0.089441546426919,0.0396529823056886,0.0518889622909337,0.0788470742637915,0.0772187096380215,0.1375386653724287,0.1545760396328986,0.2038033695629694,28.38569880823402,69.23076923076923,99.91874322860238,100.0,3692
train,L1_gt,EKF + LSTM + trajectory constraint,True,0.0509189712766332,0.0699417745822682,0.0865135449949164,0.0298284835920734,0.0447365678738737,0.0737554212977101,0.0725372411803099,0.1373804994674959,0.154386840656426,0.2037609069220693,34.29035752979415,71.397616468039,99.89165763813652,100.0,3692
train,L2_gt,Raw trilateration,True,0.3294367367613056,0.1384403585864079,0.3573433872530328,0.1615197258569481,0.0938349693709335,0.224241267147099,0.1506346183144696,0.4100782865640191,0.5490652940185838,1.967554620684664,14.93025903785938,34.99857671505836,62.02675775690293,94.0079703956732,7026
train,L2_gt,EKF only,True,0.3095568411911193,0.0995536798957166,0.3251712981014817,0.133600060075847,0.0755148100455152,0.1793573998775106,0.1159958178704464,0.2594877073427711,0.470349366677466,2.019223793407113,14.30401366353544,42.32849416453174,80.34443495587816,95.0754341019072,7026
train,L2_gt,EKF + LSTM residual,True,0.2956917334407496,0.0432163627799066,0.2988331561877294,0.0940728388244539,0.0295971570535159,0.11138427738065,0.0467878428312943,0.1226395239227555,0.3670675276045364,2.017750908461108,54.28408767435241,84.60005693139767,94.44918872758326,95.40278963848564,7026
train,L2_gt,EKF + LSTM + raw fallback,True,0.2956917334407496,0.0432163627799066,0.2988331561877294,0.0940728388244539,0.0295971570535159,0.11138427738065,0.0467878428312943,0.1226395239227555,0.3670675276045364,2.017750908461108,54.28408767435241,84.60005693139767,94.44918872758326,95.40278963848564,7026
train,L2_gt,EKF + LSTM + trajectory constraint,True,0.2971897445847316,0.0443021392672883,0.3004736657845346,0.0881436787291577,0.0236235522233818,0.1087278211246733,0.0418000804304119,0.1222762603844795,0.4657322458615511,2.0024338179569674,59.436379163108455,84.42926273840023,94.07913464275548,95.10389980074012,7026
val,all,Raw trilateration,True,0.1959559921944792,0.1208969778896374,0.2302494954169721,0.1470953736946567,0.0711211511940588,0.1921367010975037,0.1673148850253379,0.3784460297520736,0.4340632765545141,0.5657234642998559,13.557483731019524,27.874186550976138,58.6767895878525,98.80694143167028,1844
val,all,EKF only,True,0.1591671073560171,0.0940677548016156,0.1848862097548078,0.116658020402073,0.0659464841730799,0.1517319094820892,0.1257969116022601,0.2887073897764186,0.3446604682993596,0.5158907862628894,15.292841648590022,38.340563991323215,70.49891540130152,98.91540130151844,1844
val,all,EKF + LSTM residual,True,0.0850039421085314,0.0510153553039197,0.0991374634070074,0.0561086150523346,0.0357544494759544,0.0781515981915111,0.0657101895500412,0.1367544388024542,0.2085386592689307,0.3234721297894304,36.22559652928417,72.77657266811279,94.68546637744032,100.0,1844
val,all,EKF + LSTM + raw fallback,True,0.0850039421085314,0.0510153553039197,0.0991374634070074,0.0561086150523346,0.0357544494759544,0.0781515981915111,0.0657101895500412,0.1367544388024542,0.2085386592689307,0.3234721297894304,36.22559652928417,72.77657266811279,94.68546637744032,100.0,1844
val,all,EKF + LSTM + trajectory constraint,True,0.0853647433964342,0.0475912731452013,0.0977346852183002,0.0509138176148861,0.0248569535790221,0.0736467746418762,0.061912933615537,0.1305826909317262,0.211828812747803,0.3447160502709989,39.80477223427332,76.35574837310195,94.68546637744032,100.0,1844
val,L1_gt,Raw trilateration,True,0.1699991183676725,0.0696075836554512,0.1836978931510554,0.1273605838148878,0.0454710414201902,0.1503116345318016,0.1335840141009543,0.2976180298349462,0.3363089153277066,0.5059871072012397,20.541401273885352,35.98726114649681,71.81528662420382,99.68152866242038,628
val,L1_gt,EKF only,True,0.1173798102257077,0.0542838011640846,0.1293242085513962,0.0945453828587764,0.0434979073106522,0.1131180297403162,0.1082395132648886,0.2203709706592455,0.2401178229114943,0.2549370088376367,16.24203821656051,44.5859872611465,85.828025477707,100.0,628
val,L1_gt,EKF + LSTM residual,True,0.0560291230267687,0.0539276557196693,0.0777653822633694,0.0448421416409198,0.0369932398884009,0.0705762174093643,0.0673422147673445,0.1137730657526579,0.120585661003373,0.1397843026964518,28.503184713375795,73.40764331210191,100.0,100.0,628
val,L1_gt,EKF + LSTM + raw fallback,True,0.0560291230267687,0.0539276557196693,0.0777653822633694,0.0448421416409198,0.0369932398884009,0.0705762174093643,0.0673422147673445,0.1137730657526579,0.120585661003373,0.1397843026964518,28.503184713375795,73.40764331210191,100.0,100.0,628
val,L1_gt,EKF + LSTM + trajectory constraint,True,0.0546968471141405,0.0522710266677278,0.0756571563906943,0.0388413915830815,0.0288974109705591,0.0675552398800358,0.0639374119513501,0.1125511344679678,0.119013046905,0.1393868330585086,31.528662420382165,75.79617834394905,100.0,100.0,628
val,L2_gt,Raw trilateration,True,0.208097358411566,0.1402220240756324,0.2509317170342143,0.1572873539944058,0.0843680828864844,0.2137371466593959,0.192346492995619,0.3998182671655915,0.4491396376092145,0.5657234642998559,9.950657894736842,23.684210526315788,51.89144736842105,98.35526315789474,1216
val,L2_gt,EKF only,True,0.1769245895827914,0.1090725481596536,0.2078440067961527,0.1280780338701572,0.0775399926184785,0.1716739460592549,0.1493904042745247,0.3048316286350501,0.4374569952358088,0.5158907862628894,14.802631578947366,35.11513157894737,62.58223684210527,98.35526315789474,1216
val,L2_gt,EKF + LSTM residual,True,0.0966234164054083,0.0494441801736388,0.1085394469807922,0.0619271555970455,0.0351146794274211,0.0820638836612383,0.0636106272830056,0.168423290952108,0.2698019000160534,0.3234721297894304,40.213815789473685,72.45065789473685,91.94078947368422,100.0,1216
val,L2_gt,EKF + LSTM + raw fallback,True,0.0966234164054083,0.0494441801736388,0.1085394469807922,0.0619271555970455,0.0351146794274211,0.0820638836612383,0.0636106272830056,0.168423290952108,0.2698019000160534,0.3234721297894304,40.213815789473685,72.45065789473685,91.94078947368422,100.0,1216
val,L2_gt,EKF + LSTM + trajectory constraint,True,0.0974960743500422,0.0449841910077819,0.1073734695085037,0.0571485902694694,0.0227702699919455,0.076792731739274,0.0603396308209893,0.1820151874880882,0.2706782057700998,0.3447160502709989,44.07894736842105,76.64473684210526,91.94078947368422,100.0,1216
test,all,Raw trilateration,True,0.175754601785365,0.1404050932048376,0.224951706476282,0.1208068129487133,0.097151957445647,0.1949200787936439,0.1932875185773594,0.3324569301935565,0.3797095534623868,0.6774524817158651,10.113226968605249,24.369531652084405,51.85280494081318,98.82913021101388,7772
