pattern,model,mae_cm,rmse_cm
Pola L,Raw trilateration,19.49200787936439,22.4951706476282
Pola L,EKF only,14.93217900983147,18.114293891436432
Pola L,EKF + LSTM residual,9.70545953398151,11.71163021357798
Pola L,EKF + LSTM + trajectory constraint,8.81080885329084,10.98435361894422
Segitiga,Raw trilateration,15.09733897299593,18.24238741519147
Segitiga,EKF only,11.56640582179446,13.68882925020389
Segitiga,EKF + LSTM residual,9.89043386570005,12.47919832158107
Segitiga,EKF + LSTM + trajectory constraint,9.54195226800908,12.33006482843366
Kotak 10-loop,Raw trilateration,21.9253346172124,24.94951026882732
Kotak 10-loop,EKF only,15.19773578332063,17.13953911365381
Kotak 10-loop,EKF + LSTM residual,9.88768979663708,11.62709865399569
Kotak 10-loop,EKF + LSTM + trajectory constraint,9.88768979663708,11.62709865399569
